raw,norm,group,국적
Massachusetts Institute of Technology,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,US
"MATERIAL HANDLING SYSTEMS, INC.",MATERIAL HANDLING SYSTEMS,MATERIAL HANDLING SYSTEMS,US
Matthew E. Trompeter,MATTHEW E TROMPETER,MATTHEW E TROMPETER,US
Matthew S. Ulliman,MATTHEW S ULLIMAN,MATTHEW S ULLIMAN,US
MAX-PLANCK­-GESELLSCHAFT ZUR FORDERUNG DER WISSENSCHAFTEN E.V.,MAX-PLANCK­-GESELLSCHAFT ZUR FORDERUNG DER WISSENSCHAFTEN EV,MAX-PLANCK­-GESELLSCHAFT ZUR FORDERUNG DER WISSENSCHAFTEN EV,DE
"MAYEKAWA MFG. CO., LTD.",MAYEKAWA MFG,MAYEKAWA MFG,JP
"Medivis, Inc.",MEDIVIS,MEDIVIS,US
"MEGAROBO TECHNOLOGIES CO., LTD.",MEGAROBO TECHNOLOGIES,MEGAROBO TECHNOLOGIES,CN
MEKANIKA INC.,MEKANIKA,MEKANIKA,CA
MELTIN INC.,MELTIN,MELTIN,JP
MERCEDES BENZ GROUP AG,MERCEDES BENZ GROUP,MERCEDES BENZ GROUP,DE
Metal Industries Research & Development Centre,METAL INDUSTRIES RESEARCH & DEVELOPMENT CENTRE,METAL INDUSTRIES RESEARCH & DEVELOPMENT CENTRE,TW
METISS B.V.,METISS,METISS,NL
MGS Machine Corporation,MGS MACHINE,MGS MACHINE,US
"MICROSOFT TECHNOLOGY LICENSING, LLC",MICROSOFT TECHNOLOGY LICENSING,MICROSOFT TECHNOLOGY LICENSING,US
"Microsoft Technology Licensing, LLC",MICROSOFT TECHNOLOGY LICENSING,MICROSOFT TECHNOLOGY LICENSING,US
MID ATLANTIC MACHINERY,MID ATLANTIC MACHINERY,MID ATLANTIC MACHINERY,US
Milos Misha Subotincic,MILOS MISHA SUBOTINCIC,MILOS MISHA SUBOTINCIC,CA
Ming Zhang,MING ZHANG,MING ZHANG,CA
MIRALIS INC.,MIRALIS,MIRALIS,CA
MITSUBISHI ELECTRIC CORPORATION,MITSUBISHI ELECTRIC,MITSUBISHI ELECTRIC,JP
"Mitsubishi Electric Research Laboratories, Inc.",MITSUBISHI ELECTRIC RESEARCH LABORATORIES,MITSUBISHI ELECTRIC,US
MITSUBISHI ELECTRIC RESEARCH LABORATORIES INC.,MITSUBISHI ELECTRIC RESEARCH LABORATORIES,MITSUBISHI ELECTRIC,US
"MITSUBISHI ELECTRIC RESEARCH LABORATORIES, INC.",MITSUBISHI ELECTRIC RESEARCH LABORATORIES,MITSUBISHI ELECTRIC,US
"MITSUBISHI HEAVY INDUSTRIES, LTD.",MITSUBISHI HEAVY INDUSTRIES,MITSUBISHI HEAVY INDUSTRIES,JP
Mitutoyo Corporation,MITUTOYO,MITUTOYO,JP
MOBILE INDUSTRIAL ROBOTS A/S,MOBILE INDUSTRIAL ROBOTS A/S,MOBILE INDUSTRIAL ROBOTS A/S,DK
Mokpo National Maritime University Industry-Academic Cooperation Foundation,MOKPO NATIONAL MARITIME UNIVERSITY INDUSTRY-ACADEMIC COOPERATION FOUNDATION,MOKPO NATIONAL MARITIME UNIVERSITY INDUSTRY-ACADEMIC COOPERATION FOUNDATION,KR
"MONOTONY.AI, INC.",MONOTONYAI,MONOTONYAI,US
Moog Inc.,MOOG,MOOG,US
Moshe Shapiro,MOSHE SHAPIRO,MOSHE SHAPIRO,IL
MP ZENROBOTICS OY,MP ZENROBOTICS,MP ZENROBOTICS,FI
MTM ROBOTICS LLC,MTM ROBOTICS,MTM ROBOTICS,US
"MUJIN, INC.",MUJIN,MUJIN,JP
"Mujin, Inc.",MUJIN,MUJIN,JP
"MUJIN, Inc.",MUJIN,MUJIN,JP
MUSCLE CORPORATION,MUSCLE,MUSCLE,JP
"Muth Mirror Systems, LLC",MUTH MIRROR SYSTEMS,MUTH MIRROR SYSTEMS,US
"MYTRA, INC.",MYTRA,MYTRA,US
Máquinas Sanmartin Ltda,MÁQUINAS SANMARTIN LTDA,MÁQUINAS SANMARTIN LTDA,BR
NACHI-FUJIKOSHI CORP.,NACHI-FUJIKOSHI,NACHI-FUJIKOSHI,JP
"NAKANISHI METAL WORKS CO., LTD.",NAKANISHI METAL WORKS,NAKANISHI METAL WORKS,JP
"NANJING ESTUN ROBOTICS CO., LTD",NANJING ESTUN ROBOTICS,NANJING ESTUN ROBOTICS,CN
NANJING UNIVERSITY,NANJING UNIVERSITY,NANJING UNIVERSITY,CN
NANJING UNIVERSITY OF AERONAUTICS AND ASTRONAUTICS,NANJING UNIVERSITY OF AERONAUTICS AND ASTRONAUTICS,NANJING UNIVERSITY OF AERONAUTICS AND ASTRONAUTICS,CN
NANYANG TECHNOLOGICAL UNIVERSITY,NANYANG TECHNOLOGICAL UNIVERSITY,NANYANG TECHNOLOGICAL UNIVERSITY,SG
NATIONAL CHIAO TUNG UNIVERSITY,NATIONAL CHIAO TUNG UNIVERSITY,NATIONAL CHIAO TUNG UNIVERSITY,TW
NATIONAL INSTITUTE OF ADVANCED INDUSTRIAL SCIENCE AND TEHCHNOLOGY,NATIONAL INSTITUTE OF ADVANCED INDUSTRIAL SCIENCE AND TEHCHNOLOGY,NATIONAL INSTITUTE OF ADVANCED INDUSTRIAL SCIENCE AND TEHCHNOLOGY,JP
NATIONAL REHABILITATION CENTER,NATIONAL REHABILITATION CENTER,NATIONAL REHABILITATION CENTER,KR
NATIONAL TAIPEI UNIVERSITY OF TECHNOLOGY,NATIONAL TAIPEI UNIVERSITY OF TECHNOLOGY,NATIONAL TAIPEI UNIVERSITY OF TECHNOLOGY,TW
"NATIONAL TECHNOLOGY & ENGINEERING SOLUTIONS OF SANDIA, LLC",NATIONAL TECHNOLOGY & ENGINEERING SOLUTIONS OF SANDIA,NATIONAL TECHNOLOGY & ENGINEERING SOLUTIONS OF SANDIA,US
NATIONAL TSING HUA UNIVERSITY,NATIONAL TSING HUA UNIVERSITY,NATIONAL TSING HUA UNIVERSITY,TW
NATIONAL UNIVERSITY CORPORATION SHIZUOKA UNIVERSITY,NATIONAL UNIVERSITY SHIZUOKA UNIVERSITY,NATIONAL UNIVERSITY SHIZUOKA UNIVERSITY,JP
National Yang Ming Chiao Tung University,NATIONAL YANG MING CHIAO TUNG UNIVERSITY,NATIONAL YANG MING CHIAO TUNG UNIVERSITY,TW
NAVER CORPORATION,NAVER,NAVER,KR
NAVER LABS CORPORATION,NAVER LABS,NAVER LABS,KR
NEC CORPORATION,NEC,NEC,JP
Neil Ludban,NEIL LUDBAN,NEIL LUDBAN,US
NEPTUNE MEDICAL INC.,NEPTUNE MEDICAL,NEPTUNE MEDICAL,US
NEUBILITY INC.,NEUBILITY,NEUBILITY,KR
NEUROCEAN TECHNOLOGIES INC.,NEUROCEAN TECHNOLOGIES,NEUROCEAN TECHNOLOGIES,CN
NEUROMEKA,NEUROMEKA,NEUROMEKA,KR
"NEUROMEKA CO., LTD.",NEUROMEKA,NEUROMEKA,KR
NIDEC CORPORATION,NIDEC,NIDEC,JP
NIDEC INSTRUMENTS CORPORATION,NIDEC INSTRUMENTS,NIDEC INSTRUMENTS,JP
NIDEC SANKYO CORPORATION,NIDEC SANKYO,NIDEC SANKYO,JP
Nikolai Pavlovich Gavrilin,NIKOLAI PAVLOVICH GAVRILIN,NIKOLAI PAVLOVICH GAVRILIN,RU
NIKON CORPORATION,NIKON,NIKON,JP
NIMBL'BOT SAS,NIMBL'BOT,NIMBL'BOT,FR
"NIMBLE ROBOTICS, INC.",NIMBLE ROBOTICS,NIMBLE ROBOTICS,US
"NINGBO INSTITUTE OF MATERIALS TECHNOLOGY & ENGINEERING, CHINESE ACADEMY OF SCIENCES",NINGBO INSTITUTE OF MATERIALS TECHNOLOGY & ENGINEERING CHINESE ACADEMY OF SCIENCES,NINGBO INSTITUTE OF MATERIALS TECHNOLOGY & ENGINEERING CHINESE ACADEMY OF SCIENCES,CN
NIPPON TELEGRAPH AND TELEPHONE CORPORATION,NIPPON TELEGRAPH AND TELEPHONE,NIPPON TELEGRAPH AND TELEPHONE,JP
"NISSAN MOTOR CO., LTD.",NISSAN MOTOR,NISSAN MOTOR,JP
"Nissan North America, Inc.",NISSAN NORTH AMERICA,NISSAN NORTH AMERICA,US
"NISSHA CO.,LTD.",NISSHA COLTD,NISSHA COLTD,JP
NITTA CORPORATION,NITTA,NITTA,JP
"NOISEOUT, INC.",NOISEOUT,NOISEOUT,US
NORTHWESTERN UNIVERSITY,NORTHWESTERN UNIVERSITY,NORTHWESTERN UNIVERSITY,US
NSK LTD.,NSK,NSK,JP
NVIDIA CORP.,NVIDIA,NVIDIA,US
NVIDIA CORPORATION,NVIDIA,NVIDIA,US
"NYX, INC.",NYX,NYX,US
OCADO INNOVATION LIMITED,OCADO INNOVATION,OCADO INNOVATION,GB
"Off-World, Inc.",OFF-WORLD,OFF-WORLD,US
OKAMURA CORPORATION,OKAMURA,OKAMURA,JP
OKUMA CORPORATION,OKUMA,OKUMA,JP
OKURA YUSOKI KABUSHIKI KAISHA,OKURA YUSOKI,OKURA YUSOKI,JP
OLIVER CRISPIN ROBOTICS LIMITED,OLIVER CRISPIN ROBOTICS,OLIVER CRISPIN ROBOTICS,GB
"OMNISHARP, LLC",OMNISHARP,OMNISHARP,US
OMRON CORPORATION,OMRON,OMRON,JP
OMRON Corporation,OMRON,OMRON,JP
ONROBOT A/S,ONROBOT A/S,ONROBOT A/S,DK
"Onward Robotics, Inc.",ONWARD ROBOTICS,ONWARD ROBOTICS,US
OpiFlex Automation AB,OPIFLEX AUTOMATION,OPIFLEX AUTOMATION,SE
Oracle International Corporation,ORACLE INTERNATIONAL,ORACLE INTERNATIONAL,US
Orangewood Labs Inc.,ORANGEWOOD LABS,ORANGEWOOD LABS,US
Osaro,OSARO,OSARO,US
OSHKOSH CORPORATION,OSHKOSH,OSHKOSH,US
"OTHER LAB, LLC",OTHER LAB,OTHER LAB,US
OTIS ELEVATOR COMPANY,OTIS ELEVATOR,OTIS ELEVATOR,US
"OUTRIDER TECHNOLOGIES, INC.",OUTRIDER TECHNOLOGIES,OUTRIDER TECHNOLOGIES,US
OZYEGIN UNIVERSITESI,OZYEGIN UNIVERSITESI,OZYEGIN UNIVERSITESI,TR
"PALLETEC, LLC",PALLETEC,PALLETEC,US
PANASONIC CORPORATION,PANASONIC,PANASONIC,JP
"PANASONIC INTELLECTUAL PROPERTY MANAGEMENT CO., LTD.",PANASONIC INTELLECTUAL PROPERTY MANAGEMENT,PANASONIC,JP
"Panasonic Intellectual Property Management Co., Ltd.",PANASONIC INTELLECTUAL PROPERTY MANAGEMENT,PANASONIC,JP
PANASONIC INTELLECTUAL PROPERTY CORPORATION OF AMERICA,PANASONIC INTELLECTUAL PROPERTY OF AMERICA,PANASONIC,US
"PANASONIC INTTELLECTUAL PROPERTY MANAGEMENT CO., LTD.",PANASONIC INTTELLECTUAL PROPERTY MANAGEMENT,PANASONIC,JP
Paul Ekas,PAUL EKAS,PAUL EKAS,US
PEARSON PACKAGING SYSTEMS,PEARSON PACKAGING SYSTEMS,PEARSON PACKAGING SYSTEMS,US
"PERSIMMON TECHNOLOGIES, CORP.",PERSIMMON TECHNOLOGIES,PERSIMMON TECHNOLOGIES,US
Persimmon Technologies Corporation,PERSIMMON TECHNOLOGIES,PERSIMMON TECHNOLOGIES,US
PERSIMMON TECHNOLOGIES CORPORATION,PERSIMMON TECHNOLOGIES,PERSIMMON TECHNOLOGIES,US
Petoi LLC,PETOI,PETOI,US
"PETOI, LLC",PETOI,PETOI,US
PETRÓLEO BRASILEIRO S.A. – PETROBRAS,PETRÓLEO BRASILEIRO – PETROBRAS,PETRÓLEO BRASILEIRO – PETROBRAS,BR
PHARMA INTEGRATION S.R.L.,PHARMA INTEGRATION,PHARMA INTEGRATION,IT
"PIONEER MATERIAL PRECISION TECH CO., LTD.",PIONEER MATERIAL PRECISION TECH,PIONEER MATERIAL PRECISION TECH,TW
PixArt Imaging Inc,PIXART IMAGING,PIXART IMAGING,TW
"PLAY-I, INC.",PLAY-I,PLAY-I,US
"PLUS ONE ROBOTICS, INC.",PLUS ONE ROBOTICS,PLUS ONE ROBOTICS,US
POLITECNICO DI MILANO,POLITECNICO DI MILANO,POLITECNICO DI MILANO,IT
POLLEN ROBOTICS,POLLEN ROBOTICS,POLLEN ROBOTICS,FR
POSTECH RESEARCH AND BUSINESS DEVELOPMENT FOUNDATION,POSTECH RESEARCH AND BUSINESS DEVELOPMENT FOUNDATION,POSTECH RESEARCH AND BUSINESS DEVELOPMENT FOUNDATION,KR
"PRAMANA, INC.",PRAMANA,PRAMANA,US
"Pramana, Inc.",PRAMANA,PRAMANA,US
PRATT & WHITNEY CANADA CORP.,PRATT & WHITNEY CANADA,PRATT & WHITNEY CANADA,CA
Pratt & Whitney Canada Corp.,PRATT & WHITNEY CANADA,PRATT & WHITNEY CANADA,CA
"Precise Automation, Inc.",PRECISE AUTOMATION,PRECISE AUTOMATION,US
"PREFERRED NETWORKS, INC.",PREFERRED NETWORKS,PREFERRED NETWORKS,JP
PRESIDENT AND FELLOWS OF HARVARD COLLEGE,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,US
President and Fellows of Harvard College,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,US
PROCESS VISION LTD.,PROCESS VISION,PROCESS VISION,GB
"ProcessChamp, LLC",PROCESSCHAMP,PROCESSCHAMP,US
PROMISE ROBOTICS INC.,PROMISE ROBOTICS,PROMISE ROBOTICS,CA
PURDUE RESEARCH FOUNDATION,PURDUE RESEARCH FOUNDATION,PURDUE RESEARCH FOUNDATION,US
Purdue Research Foundation,PURDUE RESEARCH FOUNDATION,PURDUE RESEARCH FOUNDATION,US
QUALCOMM INCORPORATED,QUALCOMM,QUALCOMM,US
QUANSER CONSULTING INC.,QUANSER CONSULTING,QUANSER CONSULTING,CA
Quanta Computer Inc.,QUANTA COMPUTER,QUANTA COMPUTER,TW
QUANTA STORAGE INC.,QUANTA STORAGE,QUANTA STORAGE,TW
"QUANTUM INNOVATIONS, INC.",QUANTUM INNOVATIONS,QUANTUM INNOVATIONS,US
Rahul Babu,RAHUL BABU,RAHUL BABU,US
RAINBOW DYNAMICS LLC,RAINBOW DYNAMICS,RAINBOW DYNAMICS,US
RAINBOW ROBOTICS,RAINBOW ROBOTICS,RAINBOW ROBOTICS,KR
Rainbow Robotics,RAINBOW ROBOTICS,RAINBOW ROBOTICS,KR
"RAKUTEN GROUP, INC.",RAKUTEN GROUP,RAKUTEN GROUP,JP
RAON ROBOTICS INC.,RAON ROBOTICS,RAON ROBOTICS,KR
"RAPYUTA ROBOTICS, CO., LTD.",RAPYUTA ROBOTICS,RAPYUTA ROBOTICS,JP
"RAPYUTA ROBOTICS CO., LTD",RAPYUTA ROBOTICS,RAPYUTA ROBOTICS,JP
Raytheon Company,RAYTHEON,RAYTHEON,US
RAYTHEON TECHNOLOGIES CORPORATION,RAYTHEON TECHNOLOGIES,RAYTHEON TECHNOLOGIES,US
"REALTIME ROBOTICS, INC.",REALTIME ROBOTICS,REALTIME ROBOTICS,US
"Recognition Robotics, Inc.",RECOGNITION ROBOTICS,RECOGNITION ROBOTICS,US
"ReconRobotics, Inc.",RECONROBOTICS,RECONROBOTICS,US
"RedZone Robotics, Inc.",REDZONE ROBOTICS,REDZONE ROBOTICS,US
Reliabotics LLC,RELIABOTICS,RELIABOTICS,US
REPUBLIC OF KOREA (NATIONAL REHABILITATION CENTER),REPUBLIC OF KOREA (NATIONAL REHABILITATION CENTER),REPUBLIC OF KOREA (NATIONAL REHABILITATION CENTER),KR
Research & Business Foundation Sungkyunkwan University,RESEARCH & BUSINESS FOUNDATION SUNGKYUNKWAN UNIVERSITY,RESEARCH & BUSINESS FOUNDATION SUNGKYUNKWAN UNIVERSITY,KR
"RETHINK ROBOTICS, INC.",RETHINK ROBOTICS,RETHINK ROBOTICS,US
Richard A. Skrinde,RICHARD A SKRINDE,RICHARD A SKRINDE,US
"Ricoh Company, Ltd.",RICOH,RICOH,JP
"RICOH COMPANY, LTD.",RICOH,RICOH,JP
"RIOS INTELLIGENT MACHINES, INC.",RIOS INTELLIGENT MACHINES,RIOS INTELLIGENT MACHINES,US
"RIOS Intelligent Machines, Inc.",RIOS INTELLIGENT MACHINES,RIOS INTELLIGENT MACHINES,미상
RITTAL GMBH & CO. KG,RITTAL & CO KG,RITTAL & CO KG,DE
"Rivian IP Holdings, LLC",RIVIAN IP,RIVIAN IP,US
ROAM ROBOTICS INC.,ROAM ROBOTICS,ROAM ROBOTICS,US
ROBERT BOSCH GMBH,ROBERT BOSCH,ROBERT BOSCH,DE
Robert Bosch GmbH,ROBERT BOSCH,ROBERT BOSCH,DE
Robert Chisena,ROBERT CHISENA,ROBERT CHISENA,US
ROBIM TECHNOLOGIES INC. OF CANADA.,ROBIM TECHNOLOGIES OF CANADA,ROBIM TECHNOLOGIES OF CANADA,CA
"ROBOLIGENT, INC.",ROBOLIGENT,ROBOLIGENT,US
ROBOLOGICS LTD.,ROBOLOGICS,ROBOLOGICS,IL
Robomotive Laboratories LLC,ROBOMOTIVE LABORATORIES,ROBOMOTIVE LABORATORIES,US
"ROBORISEN CO., LTD",ROBORISEN,ROBORISEN,KR
ROBOTAUTOMATION SVENSKA AB,ROBOTAUTOMATION SVENSKA,ROBOTAUTOMATION SVENSKA,SE
"ROBOTIC MATERIALS, INC.",ROBOTIC MATERIALS,ROBOTIC MATERIALS,US
"ROBOTIC TECHNOLOGIES OF TENNESSEE, LLC",ROBOTIC TECHNOLOGIES OF TENNESSEE,ROBOTIC TECHNOLOGIES OF TENNESSEE,US
ROBOTICS DESIGN INC.,ROBOTICS DESIGN,ROBOTICS DESIGN,CA
ROBOTICS PLUS LIMITED,ROBOTICS PLUS,ROBOTICS PLUS,NZ
ROBOTIQ INC.,ROBOTIQ,ROBOTIQ,CA
"ROBOTIS CO., LTD.",ROBOTIS,ROBOTIS,KR
ROBOTIS CO. LTD.,ROBOTIS,ROBOTIS,KR
"ROBOTIS, INC.",ROBOTIS,ROBOTIS,US
"Rockwell Automation Technologies, Inc.",ROCKWELL AUTOMATION TECHNOLOGIES,ROCKWELL AUTOMATION TECHNOLOGIES,US
ROLLS-ROYCE plc,ROLLS-ROYCE,ROLLS-ROYCE,GB
Rolls-Royce plc,ROLLS-ROYCE,ROLLS-ROYCE,GB
Ross Digital PTD Ltd.,ROSS DIGITAL PTD,ROSS DIGITAL PTD,SG
ROSS VIDEO LIMITED,ROSS VIDEO,ROSS VIDEO,CA
Run Ze Gao,RUN ZE GAO,RUN ZE GAO,CA
"SAFETICS, INC.",SAFETICS,SAFETICS,KR
"SALESFORCE.COM, INC.",SALESFORCECOM,SALESFORCECOM,US
Sami Haddadin,SAMI HADDADIN,SAMI HADDADIN,DE
"SAMSUNG ELECTRONICS CO., LTD.",SAMSUNG ELECTRONICS,SAMSUNG,KR
"Samsung Electronics Co., Ltd.",SAMSUNG ELECTRONICS,SAMSUNG,KR
"Samsung Electronics Co., Ltd",SAMSUNG ELECTRONICS,SAMSUNG,미상
"SAMSUNG SDS CO., LTD.",SAMSUNG SDS,SAMSUNG,KR
SANCTUARY COGNITIVE SYSTEMS CORPORATION,SANCTUARY COGNITIVE SYSTEMS,SANCTUARY COGNITIVE SYSTEMS,CA
Sanctuary Cognitive Systems Corporation,SANCTUARY COGNITIVE SYSTEMS,SANCTUARY COGNITIVE SYSTEMS,CA
Santa Clara University,SANTA CLARA UNIVERSITY,SANTA CLARA UNIVERSITY,US
SARCOS CORP.,SARCOS,SARCOS,US
Sarcos Corp.,SARCOS,SARCOS,US
"Sarcos, LC",SARCOS LC,SARCOS LC,US
Sarcos LC,SARCOS LC,SARCOS LC,US
SAUDI ARABIAN OIL COMPANY,SAUDI ARABIAN OIL,SAUDI ARABIAN OIL,SA
SCALABLE ROBOTICS INC.,SCALABLE ROBOTICS,SCALABLE ROBOTICS,US
SCHAEFFLER TECHNOLOGIES AG & CO. KG,SCHAEFFLER TECHNOLOGIES & CO KG,SCHAEFFLER TECHNOLOGIES & CO KG,DE
SCHLUMBERGER TECHNOLOGY CORPORATION,SCHLUMBERGER TECHNOLOGY,SCHLUMBERGER TECHNOLOGY,US
SCHUNK GMBH & CO. KG SPANN-UND GREIFTECHNIK,SCHUNK & CO KG SPANN-UND GREIFTECHNIK,SCHUNK & CO KG SPANN-UND GREIFTECHNIK,DE
SCUOLA SUPERIORE DI STUDI UNIVERSITARI E DI PERFEZIONAMENTO SANT'ANNA,SCUOLA SUPERIORE DI STUDI UNIVERSITARI E DI PERFEZIONAMENTO SANT'ANNA,SCUOLA SUPERIORE DI STUDI UNIVERSITARI E DI PERFEZIONAMENTO SANT'ANNA,IT
Seiko Epson Corporation,SEIKO EPSON,SEIKO EPSON,JP
SEIKO EPSON CORPORATION,SEIKO EPSON,SEIKO EPSON,미상
"Semes Co., Ltd.",SEMES,SEMES,KR
"SEMES CO., LTD.",SEMES,SEMES,KR
"Semiconductor Energy Laboratory Co., Ltd.",SEMICONDUCTOR ENERGY LABORATORY,SEMICONDUCTOR ENERGY LABORATORY,JP
Seoul National University R&DB Foundation,SEOUL NATIONAL UNIVERSITY R&DB FOUNDATION,SEOUL NATIONAL UNIVERSITY R&DB FOUNDATION,KR
Seoul National Unviversity R&DB Foundation,SEOUL NATIONAL UNVIVERSITY R&DB FOUNDATION,SEOUL NATIONAL UNVIVERSITY R&DB FOUNDATION,KR
Seung Whan Jung,SEUNG WHAN JUNG,SEUNG WHAN JUNG,KR
SEW-EURODRIVE GMBH & CO. KG,SEW-EURODRIVE & CO KG,SEW-EURODRIVE & CO KG,DE
SGBI Inc.,SGBI,SGBI,US
Shambhu Nath Roy,SHAMBHU NATH ROY,SHAMBHU NATH ROY,US
"Shandong Tianfeng Zhiyuan Intelligent Technology Co., Ltd.",SHANDONG TIANFENG ZHIYUAN INTELLIGENT TECHNOLOGY,SHANDONG TIANFENG ZHIYUAN INTELLIGENT TECHNOLOGY,CN
SHANDONG UNIVERSITY,SHANDONG UNIVERSITY,SHANDONG UNIVERSITY,CN
Shandong University,SHANDONG UNIVERSITY,SHANDONG UNIVERSITY,CN
"SHANGHAI FLEXIV ROBOTICS TECHNOLOGY CO., LTD.",SHANGHAI FLEXIV ROBOTICS TECHNOLOGY,SHANGHAI FLEXIV ROBOTICS TECHNOLOGY,CN
SHANGHAI JIAOTONG UNIVERSITY,SHANGHAI JIAOTONG UNIVERSITY,SHANGHAI JIAOTONG UNIVERSITY,CN
SHARP KABUSHIKI KAISHA,SHARP,SHARP,JP
"SHENYANG INSTITUTE OF AUTOMATION, CHINESE ACADEMY OF SCIENCES",SHENYANG INSTITUTE OF AUTOMATION CHINESE ACADEMY OF SCIENCES,SHENYANG INSTITUTE OF AUTOMATION CHINESE ACADEMY OF SCIENCES,CN
"SHENZHEN DORABOT ROBOTICS CO., LTD.",SHENZHEN DORABOT ROBOTICS,SHENZHEN DORABOT ROBOTICS,CN
"SHENZHEN MILEBOT ROBOTICS CO., LTD.",SHENZHEN MILEBOT ROBOTICS,SHENZHEN MILEBOT ROBOTICS,CN
"Shenzhen Pengxing Intelligent Research Co., Ltd.",SHENZHEN PENGXING INTELLIGENT RESEARCH,SHENZHEN PENGXING INTELLIGENT RESEARCH,CN
"SHENZHEN QYSEA TECH CO., LTD.",SHENZHEN QYSEA TECH,SHENZHEN QYSEA TECH,CN
"SHENZHEN SPHERICAL FLUID POWER TECHNOLOGY CO.,LTD.",SHENZHEN SPHERICAL FLUID POWER TECHNOLOGY COLTD,SHENZHEN SPHERICAL FLUID POWER TECHNOLOGY COLTD,CN
Shenzhen Technology University,SHENZHEN TECHNOLOGY UNIVERSITY,SHENZHEN TECHNOLOGY UNIVERSITY,CN
"Shenzhen XiaoR Geek Technology Co., Ltd",SHENZHEN XIAOR GEEK TECHNOLOGY,SHENZHEN XIAOR GEEK TECHNOLOGY,CN
"SHENZHEN YOUIBOT ROBOTICS CO., LTD.",SHENZHEN YOUIBOT ROBOTICS,SHENZHEN YOUIBOT ROBOTICS,CN
SHIMIZU CORPORATION,SHIMIZU,SHIMIZU,JP
"SHINANO KENSHI CO., LTD.",SHINANO KENSHI,SHINANO KENSHI,JP
SICK AG,SICK,SICK,DE
SIDEL PACKING SOLUTIONS,SIDEL PACKING SOLUTIONS,SIDEL PACKING SOLUTIONS,FR
SIEMENS AKTIENGESELLSCHAFT,SIEMENS,SIEMENS,DE
"SIEMENS LTD., CHINA",SIEMENS CHINA,SIEMENS CHINA,CN
SIEMENS HEALTHCARE GMBH,SIEMENS HEALTHCARE,SIEMENS HEALTHCARE,DE
Siemens Healthcare Diagnostics Inc.,SIEMENS HEALTHCARE DIAGNOSTICS,SIEMENS HEALTHCARE DIAGNOSTICS,US
SIEMENS HEALTHINEERS AG,SIEMENS HEALTHINEERS,SIEMENS HEALTHINEERS,DE
SIEMENS INDUSTRY SOFTWARE LTD.,SIEMENS INDUSTRY SOFTWARE,SIEMENS INDUSTRY SOFTWARE,IL
SILICON LABORATORIES INC.,SILICON LABORATORIES,SILICON LABORATORIES,US
"Sinfonia Technology Co., Ltd.",SINFONIA TECHNOLOGY,SINFONIA TECHNOLOGY,JP
"SINTOKOGIO, LTD.",SINTOKOGIO,SINTOKOGIO,JP
SISU DEVICES LLC,SISU DEVICES,SISU DEVICES,US
SKEL-EX HOLDING B.V.,SKEL-EX,SKEL-EX,NL
Skyline Robotics Ltd.,SKYLINE ROBOTICS,SKYLINE ROBOTICS,IL
"SKYLLA TECHNOLOGIES, INC.",SKYLLA TECHNOLOGIES,SKYLLA TECHNOLOGIES,US
SMC CORPORATION,SMC,SMC,JP
SMW-AUTOBLOK SPANNSYSTEME GMBH,SMW-AUTOBLOK SPANNSYSTEME,SMW-AUTOBLOK SPANNSYSTEME,DE
SOCIETE DE COMMERCIALISATION DES PRODUITS DE LA RECHERCHE APPLIQUEE SOCPRA SCIENCES ET GENIE S.E.C.,SOCIETE DE COMMERCIALISATION DES PRODUITS DE LA RECHERCHE APPLIQUEE SOCPRA SCIENCES ET GENIE SEC,SOCIETE DE COMMERCIALISATION DES PRODUITS DE LA RECHERCHE APPLIQUEE SOCPRA SCIENCES ET GENIE SEC,CA
"SOFT ROBOTICS, INC.",SOFT ROBOTICS,SOFT ROBOTICS/OXIPITAL,US
"Soft Robotics, Inc.",SOFT ROBOTICS,SOFT ROBOTICS/OXIPITAL,US
SOFTBANK ROBOTICS EUROPE,SOFTBANK ROBOTICS EUROPE,SOFTBANK ROBOTICS,FR
SOFTBOX PATENTS APS,SOFTBOX PATENTS,SOFTBOX PATENTS,DK
"SOFTWEAR AUTOMATION, INC.",SOFTWEAR AUTOMATION,SOFTWEAR AUTOMATION,US
SOMATIS SENSOR SOLUTIONS LLC,SOMATIS SENSOR SOLUTIONS,SOMATIS SENSOR SOLUTIONS,US
SONY CORPORATION,SONY,SONY,JP
Sony Corporation,SONY,SONY,JP
SONY GROUP CORPORATION,SONY GROUP,SONY,JP
Sony Interactive Entertainment Inc.,SONY INTERACTIVE ENTERTAINMENT,SONY,JP
SONY INTERACTIVE ENTERTAINMENT INC.,SONY INTERACTIVE ENTERTAINMENT,SONY,JP
SOOCHOW UNIVERSITY,SOOCHOW UNIVERSITY,SOOCHOW UNIVERSITY,CN
SOUTHEAST UNIVERSITY,SOUTHEAST UNIVERSITY,SOUTHEAST UNIVERSITY,CN
"SOUTHERN FABRICATION WORKS, LLC",SOUTHERN FABRICATION WORKS,SOUTHERN FABRICATION WORKS,US
